,,,Healthy.T2.004,Healthy.T2.010,Healthy.T3.014,Healthy.T3.015,Healthy.T3.017,Healthy.T3.019,Healthy.T2.033,Unhealthy.T2.012,Unhealthy.T3.018,Unhealthy.T3.022,Unhealthy.T3.044,Unhealthy.T3.051,Unhealthy.T3.052,Unhealthy.T3.053,AVEUNHEALTHY
Actinomycetaceae;g,Actinomyces;s,odontolyticus,0.000193498452,0.0001854834773,0.0007030958188,0,0.000360317079,0,0.0004470700942,0.0001556178027,0,0,0.0001828941696,0.0002372998923,0.0004031354983,0,0.0001398496233
Actinomycetaceae;g,Actinomyces;s,oris,0,0,0,0,0,0,0.0003619138858,0,0,0,0,0,0,0,0
Actinomycetaceae;g,NA;s,sp4816,0,0,0,0,0,0,0.0001277343126,0,0,0,0,0,0,0,0
Bifidobacteriaceae;g,Bifidobacterium;s,adolescentis-faecale,0,0.06876555865,0,0,0.001621426856,0.001898469266,0,0,0,0,0,0.01374513992,0,0,0.001963591417
Bifidobacteriaceae;g,Bifidobacterium;s,animalis,0,0,0,0.01546267743,0,0,0,0,0,0,0,0,0,0,0
Bifidobacteriaceae;g,Bifidobacterium;s,bifidum,0,0,0,0,0.02269997598,0,0,0,0,0,0,0,0,0,0
Bifidobacteriaceae;g,Bifidobacterium;s,breve,0,0,0,0,0,0,0,0.001530241726,0,0,0,0,0,0.000327480666,0.0002653889132
Bifidobacteriaceae;g,Bifidobacterium;s,catenulatum-kashiwanohense-pseudocatenulatum,0,0.01503392395,0,0.0002624499705,0.009098006246,0.1335804831,0,0,0.03068797219,0,0.03947901289,0,0,0.0533037761,0.01763868017
Bifidobacteriaceae;g,Bifidobacterium;s,longum,0.1181549923,0.01680089813,0.01160108101,0,0.01336175835,0.0977636929,0.03282771835,0.04571272954,0.009995319917,0.00548895622,0.02576195017,0.001697606922,0,0,0.01266522325
Bifidobacteriaceae;g,Bifidobacterium;s,pseudolongum,0,0,0,0,0,0,0,0,0,0,0,0,0.0002911534155,0,0.00004159334506
Corynebacteriaceae;g,Corynebacterium;s,appendicis,0,0,0.0003076044207,0.0002405791396,0,0,0,0,0,0,0,0,0,0,0
Micrococcaceae;g,Rothia;s,mucilaginosa,0,0.000175721189,0.000263660932,0,0,0,0,0,0,0,0.0002351496466,0,0.0006942889138,0,0.0001327769372
Propionibacteriaceae;g,Propionibacterium;s,acnes,0,0.0002147703422,0,0,0,0,0.0002128905211,0,0,0,0,0,0,0,0
